DATA;TEMPERATURA MAXIMA;PRECIPITACAO
02/09/2018;15.59;1
03/09/2018;13.93;1
04/09/2018;16.39;1
05/09/2018;17.92;0
06/09/2018;21.49;0
07/09/2018;24;0
08/09/2018;24.41;0
09/09/2018;20.28;0
10/09/2018;21.55;0
11/09/2018;20.48;0
12/09/2018;20.49;0
13/09/2018;19.89;0
14/09/2018;17.02;1
15/09/2018;20.62;0
16/09/2018;18.57;1
17/09/2018;15.61;1
18/09/2018;21.97;1
19/09/2018;24.58;0
20/09/2018;19.37;1
21/09/2018;25.36;1
22/09/2018;27.94;0
23/09/2018;27.51;0
24/09/2018;24.13;0
25/09/2018;22.09;1
26/09/2018;23.34;1
27/09/2018;22.74;1
28/09/2018;24.65;1
29/09/2018;25.43;0
30/09/2018;21.81;1
01/10/2018;24.27;1
02/10/2018;20.5;1
03/10/2018;19.13;1
04/10/2018;19.04;1
05/10/2018;17.53;1
06/10/2018;17.12;1
07/10/2018;16.29;1
08/10/2018;21.85;1
09/10/2018;24.33;0
10/10/2018;21.35;1
11/10/2018;20.51;1
12/10/2018;24.07;0
13/10/2018;20.92;1
14/10/2018;18.12;1
15/10/2018;19.51;1
16/10/2018;20.9;0
17/10/2018;23.54;0
18/10/2018;21.34;1
19/10/2018;21.53;1
20/10/2018;21.09;1
21/10/2018;22.16;0
22/10/2018;25.81;0
23/10/2018;23.3;1
24/10/2018;19.54;1
25/10/2018;19.87;1
26/10/2018;20.01;0
27/10/2018;21.13;1
28/10/2018;21.86;0
29/10/2018;23.46;0
30/10/2018;28.38;0
31/10/2018;21.55;1
01/11/2018;21.37;1
02/11/2018;24.83;1
03/11/2018;20.79;0
04/11/2018;22.8;1
05/11/2018;25.34;0
06/11/2018;25.85;0
07/11/2018;24.06;0
08/11/2018;21.19;1
09/11/2018;24.94;0
10/11/2018;25.05;0
11/11/2018;29.07;0
12/11/2018;29.27;0
13/11/2018;29.61;1
14/11/2018;24.51;1
15/11/2018;25.43;1
16/11/2018;26.32;0
17/11/2018;27.97;0
18/11/2018;22.73;1
19/11/2018;21.31;1
20/11/2018;25.08;0
21/11/2018;25.84;0
22/11/2018;27.91;0
23/11/2018;24.12;0
24/11/2018;23.03;1
25/11/2018;25.51;0
26/11/2018;25.58;0
27/11/2018;26.73;1
28/11/2018;23.29;1
29/11/2018;25.65;1
30/11/2018;24.29;1
01/12/2018;25.53;1
02/12/2018;22.08;0
03/12/2018;22.57;0
04/12/2018;25.07;0
05/12/2018;26.68;0
06/12/2018;25.86;0
07/12/2018;22.06;1
08/12/2018;22.73;0
09/12/2018;26.31;0
10/12/2018;29.8;0
11/12/2018;31.32;0
12/12/2018;29.13;0
13/12/2018;30.61;0
14/12/2018;31.59;0
15/12/2018;27.19;1
16/12/2018;30.33;1
17/12/2018;29.96;1
18/12/2018;29.38;1
19/12/2018;31;1
20/12/2018;30.82;1
21/12/2018;25.84;1
22/12/2018;24.65;1
23/12/2018;26.1;1
24/12/2018;26.42;0
25/12/2018;26.51;1
26/12/2018;25.06;1
27/12/2018;26.98;1
28/12/2018;29.27;1
29/12/2018;30.43;1
30/12/2018;28.58;1
31/12/2018;29.52;1
01/01/2019;29.45;1
02/01/2019;30.11;0
03/01/2019;28.3;0
04/01/2019;26.51;1
05/01/2019;26.42;1
06/01/2019;25.17;1
07/01/2019;25.31;1
08/01/2019;26.7;1
09/01/2019;28.16;1
10/01/2019;27.08;1
11/01/2019;26.05;1
12/01/2019;27.66;1
13/01/2019;27.73;1
14/01/2019;27.92;1
15/01/2019;28.62;1
16/01/2019;27.15;1
17/01/2019;28.96;1
18/01/2019;26.82;1
19/01/2019;23.84;1
20/01/2019;21.57;1
21/01/2019;26.01;0
22/01/2019;28.83;0
23/01/2019;29.05;0
24/01/2019;25.83;1
25/01/2019;25.4;1
26/01/2019;28.12;0
27/01/2019;27.12;1
28/01/2019;28.35;0
29/01/2019;30.32;0
30/01/2019;31.08;0
31/01/2019;30.74;1
01/02/2019;30.6;1
02/02/2019;29.06;1
03/02/2019;21.68;1
04/02/2019;19.12;1
05/02/2019;21.14;1
06/02/2019;24.47;1
07/02/2019;22.47;1
08/02/2019;27.98;1
09/02/2019;30.5;0
10/02/2019;29.49;1
11/02/2019;28.33;1
12/02/2019;24.97;1
13/02/2019;20.9;1
14/02/2019;25.81;0
15/02/2019;20.15;1
16/02/2019;19.77;1
17/02/2019;21.49;1
18/02/2019;26.64;1
19/02/2019;25.94;0
20/02/2019;25.3;0
21/02/2019;26.66;1
22/02/2019;27;0
23/02/2019;28.58;0
24/02/2019;28.09;1
25/02/2019;25.76;1
26/02/2019;18.29;1
27/02/2019;20.45;1
28/02/2019;24.21;0
01/03/2019;25.28;0
02/03/2019;26.49;0
03/03/2019;28.41;0
04/03/2019;27.4;0
05/03/2019;28.24;0
06/03/2019;27.8;1
07/03/2019;25.55;1
08/03/2019;26.69;1
09/03/2019;25.56;1
10/03/2019;22.36;0
11/03/2019;21.18;1
12/03/2019;25.03;1
13/03/2019;25.7;1
14/03/2019;23.62;1
15/03/2019;25.77;1
16/03/2019;24.21;1
17/03/2019;22.31;1
18/03/2019;24.26;1
19/03/2019;26.63;1
20/03/2019;22.85;1
21/03/2019;18.78;1
22/03/2019;21.58;0
23/03/2019;26.07;1
24/03/2019;26.25;0
25/03/2019;27.57;0
26/03/2019;26.71;0
27/03/2019;21.32;0
28/03/2019;21.57;0
29/03/2019;23.92;0
30/03/2019;25.23;0
31/03/2019;24.86;1
01/04/2019;25.87;1
02/04/2019;25.68;1
03/04/2019;23.53;1
04/04/2019;25.16;0
05/04/2019;24.4;1
06/04/2019;22.02;1
07/04/2019;21.95;1
08/04/2019;18.75;0
09/04/2019;18.18;0
10/04/2019;21.54;0
11/04/2019;23.69;0
12/04/2019;24.41;0
13/04/2019;23.19;0
14/04/2019;23.9;0
15/04/2019;26.09;0
16/04/2019;22.87;1
17/04/2019;22.63;0
18/04/2019;24.2;0
19/04/2019;24.9;0
20/04/2019;23.52;1
21/04/2019;21.66;1
22/04/2019;22.18;1
23/04/2019;20.31;0
24/04/2019;21.12;0
25/04/2019;24.58;1
26/04/2019;22.92;1
27/04/2019;24.43;1
28/04/2019;18.32;1
29/04/2019;20.84;1
30/04/2019;22.16;0
01/05/2019;20.77;1
02/05/2019;23.34;1
03/05/2019;25.81;0
04/05/2019;26.19;1
05/05/2019;26.6;0
06/05/2019;26.17;0
07/05/2019;22.83;1
08/05/2019;21.29;0
09/05/2019;19.98;1
10/05/2019;21.92;1
11/05/2019;20.04;1
12/05/2019;21.45;1
13/05/2019;20.33;1
14/05/2019;16.79;1
15/05/2019;15.32;0
16/05/2019;17.28;0
17/05/2019;15.46;0
18/05/2019;17.54;0
19/05/2019;17.88;0
20/05/2019;22.45;1
21/05/2019;21.21;0
22/05/2019;21.47;1
23/05/2019;16.23;1
24/05/2019;15.5;1
25/05/2019;16.76;1
26/05/2019;19.73;0
27/05/2019;22.22;0
28/05/2019;17.51;1
29/05/2019;18.15;1
30/05/2019;19.5;1
31/05/2019;16.81;1
01/06/2019;18.17;1
02/06/2019;17.29;1
03/06/2019;18.37;0
04/06/2019;15.44;0
05/06/2019;15.88;0
06/06/2019;18.35;0
07/06/2019;21.31;0
08/06/2019;20.16;0
09/06/2019;21.04;0
10/06/2019;20.45;0
11/06/2019;20.9;0
12/06/2019;23.3;1
13/06/2019;24.01;0
14/06/2019;24.67;0
15/06/2019;24.2;1
16/06/2019;23.83;1
17/06/2019;21.74;0
18/06/2019;21.02;0
19/06/2019;18.94;1
20/06/2019;18.57;0
21/06/2019;18.99;0
