DATA;ANO;MES;DIA;DIA-SEMANA;HORA; QTDE CURSOS PRESENCIAIS NA ULTIMA HORA;FERIADO/RECESSO;FERIAS;COVID
26/08/2018 18:00;2018;8;26;6;18;0;0;0;0
26/08/2018 19:00;2018;8;26;6;19;0;0;0;0
26/08/2018 20:00;2018;8;26;6;20;0;0;0;0
26/08/2018 21:00;2018;8;26;6;21;0;0;0;0
26/08/2018 22:00;2018;8;26;6;22;0;0;0;0
26/08/2018 23:00;2018;8;26;6;23;0;0;0;0
27/08/2018 00:00;2018;8;27;0;0;0;0;0;0
27/08/2018 01:00;2018;8;27;0;1;0;0;0;0
27/08/2018 02:00;2018;8;27;0;2;0;0;0;0
27/08/2018 03:00;2018;8;27;0;3;0;0;0;0
27/08/2018 04:00;2018;8;27;0;4;0;0;0;0
27/08/2018 05:00;2018;8;27;0;5;0;0;0;0
27/08/2018 06:00;2018;8;27;0;6;0;0;0;0
27/08/2018 07:00;2018;8;27;0;7;0;0;0;0
27/08/2018 08:00;2018;8;27;0;8;0;0;0;0
27/08/2018 09:00;2018;8;27;0;9;5;0;0;0
27/08/2018 10:00;2018;8;27;0;10;5;0;0;0
27/08/2018 11:00;2018;8;27;0;11;5;0;0;0
27/08/2018 12:00;2018;8;27;0;12;5;0;0;0
27/08/2018 13:00;2018;8;27;0;13;0;0;0;0
27/08/2018 14:00;2018;8;27;0;14;5;0;0;0
27/08/2018 15:00;2018;8;27;0;15;5;0;0;0
27/08/2018 16:00;2018;8;27;0;16;5;0;0;0
27/08/2018 17:00;2018;8;27;0;17;5;0;0;0
27/08/2018 18:00;2018;8;27;0;18;0;0;0;0
27/08/2018 19:00;2018;8;27;0;19;0;0;0;0
27/08/2018 20:00;2018;8;27;0;20;10;0;0;0
27/08/2018 21:00;2018;8;27;0;21;10;0;0;0
27/08/2018 22:00;2018;8;27;0;22;10;0;0;0
27/08/2018 23:00;2018;8;27;0;23;10;0;0;0
28/08/2018 00:00;2018;8;28;1;0;0;0;0;0
28/08/2018 01:00;2018;8;28;1;1;0;0;0;0
28/08/2018 02:00;2018;8;28;1;2;0;0;0;0
28/08/2018 03:00;2018;8;28;1;3;0;0;0;0
28/08/2018 04:00;2018;8;28;1;4;0;0;0;0
28/08/2018 05:00;2018;8;28;1;5;0;0;0;0
28/08/2018 06:00;2018;8;28;1;6;0;0;0;0
28/08/2018 07:00;2018;8;28;1;7;0;0;0;0
28/08/2018 08:00;2018;8;28;1;8;0;0;0;0
28/08/2018 09:00;2018;8;28;1;9;5;0;0;0
28/08/2018 10:00;2018;8;28;1;10;5;0;0;0
28/08/2018 11:00;2018;8;28;1;11;5;0;0;0
28/08/2018 12:00;2018;8;28;1;12;5;0;0;0
28/08/2018 13:00;2018;8;28;1;13;0;0;0;0
28/08/2018 14:00;2018;8;28;1;14;5;0;0;0
28/08/2018 15:00;2018;8;28;1;15;5;0;0;0
28/08/2018 16:00;2018;8;28;1;16;5;0;0;0
28/08/2018 17:00;2018;8;28;1;17;5;0;0;0
28/08/2018 18:00;2018;8;28;1;18;0;0;0;0
28/08/2018 19:00;2018;8;28;1;19;0;0;0;0
28/08/2018 20:00;2018;8;28;1;20;10;0;0;0
