3 passos - Com Clima;6 passos - Com Clima;12 passos - Com Clima;3 passos - Sem Clima;6 passos - Sem Clima;12 passos - Sem Clima
5484.67;3283.83;2047.92;4923.67;3360.5;2023.5
29.36;17.33;12.97;25.94;17.89;12.46
32917382.0;18271220.5;7549811.75;28029407.0;20248751.17;7276683.33
5737.37;4274.48;2747.69;5294.28;4499.86;2697.53
