3 passos - Com Clima;6 passos - Com Clima;12 passos - Com Clima;3 passos - Sem Clima;6 passos - Sem Clima;12 passos - Sem Clima
4887.67;3242.17;2351.42;4887.67;3244.33;2339.83
27.92;18.22;15.08;27.92;18.23;15.16
24287291.67;15373507.5;9994958.08;24283880.33;15393698.67;9910789.83
4928.21;3920.91;3161.48;4927.87;3923.48;3148.14
