3 passos - Com Clima;6 passos - Com Clima;12 passos - Com Clima;3 passos - Sem Clima;6 passos - Sem Clima;12 passos - Sem Clima
261.33;235.17;166.33;305.33;252.0;192.33
29.04;29.65;35.78;37.84;34.33;43.38
118749.33;88443.17;43533.67;120411.33;83739.33;46284.33
344.6;297.39;208.65;347.0;289.38;215.14
